% f evaluations | g evaluations | best noise-free fitness - Fopt (-4.620900000000e+02) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +3.769526751e+01 -7.852347325e+02 -7.852347325e+02 -3.2575e+00 -3.4853e+00
3 0 +1.249862690e+01 -8.104313731e+02 -8.104313731e+02 +8.0354e-01 -2.5756e+00
31 0 +1.197123746e+01 -8.109587625e+02 -8.109587625e+02 +7.6382e-01 -3.2507e+00
41 0 +5.817378801e+00 -8.171126212e+02 -8.171126212e+02 +7.7159e-01 -2.8384e+00
% f evaluations | g evaluations | best noise-free fitness - Fopt (-2.443800000000e+02) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +7.064089820e+01 -1.737391018e+02 -1.737391018e+02 -3.6222e+00 -4.2412e+00
21 0 +5.882520554e+01 -1.855547945e+02 -1.855547945e+02 +1.5747e-01 -3.8696e+00
23 0 +3.371894677e+01 -2.106610532e+02 -2.106610532e+02 -1.9836e+00 -2.8118e+00
25 0 +1.443307786e+01 -2.299469221e+02 -2.299469221e+02 +6.3934e-01 -2.8292e+00
49 0 +1.212716847e+01 -2.322528315e+02 -2.322528315e+02 +4.8286e-01 -2.9186e+00
78 0 +1.098964199e+01 -2.333903580e+02 -2.333903580e+02 +3.0261e-01 -3.2345e+00
95 0 +8.707186751e+00 -2.356728132e+02 -2.356728132e+02 +5.6937e-01 -2.8683e+00
97 0 +8.223846142e+00 -2.361561539e+02 -2.361561539e+02 +5.5866e-01 -2.8714e+00
98 0 +5.243425211e+00 -2.391365748e+02 -2.391365748e+02 +3.8969e-01 -2.8201e+00
% f evaluations | g evaluations | best noise-free fitness - Fopt (-3.250900000000e+02) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +1.655699017e+02 -1.595200983e+02 -1.595200983e+02 +3.1249e+00 +2.8305e+00
6 0 +4.617868450e+01 -2.789113155e+02 -2.789113155e+02 -6.8962e-01 -2.9084e-02
15 0 +8.468243104e+00 -3.166217569e+02 -3.166217569e+02 +2.1464e+00 -1.1948e+00
26 0 +7.445480005e+00 -3.176445200e+02 -3.176445200e+02 +2.9735e+00 -7.8433e-01
40 0 +2.442265384e+00 -3.226477346e+02 -3.226477346e+02 +3.0372e+00 -1.1805e+00
50 0 +1.649351975e+00 -3.234406480e+02 -3.234406480e+02 +3.0014e+00 -1.1498e+00
% f evaluations | g evaluations | best noise-free fitness - Fopt (3.960400000000e+02) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +9.811124457e+03 +1.020716446e+04 +1.020716446e+04 +8.5754e+00 +8.0849e+00
2 0 +5.084072720e+03 +5.480112720e+03 +5.480112720e+03 +7.0445e+00 +5.6200e+00
3 0 +1.550193161e+03 +1.946233161e+03 +1.946233161e+03 -4.2235e-01 +7.2170e+00
4 0 +2.864137332e+02 +6.824537332e+02 +6.824537332e+02 -1.5827e+00 +1.4726e+00
7 0 +1.421154186e+02 +5.381554186e+02 +5.381554186e+02 +1.7956e+00 -1.0374e+00
8 0 +1.718950369e+01 +4.132295037e+02 +4.132295037e+02 -1.1780e+00 -4.4898e+00
27 0 +1.668263865e+01 +4.127226386e+02 +4.127226386e+02 -2.5283e-01 -2.9418e+00
41 0 +1.135549581e+01 +4.073954958e+02 +4.073954958e+02 -3.5825e-02 -2.5493e+00
95 0 +6.734702880e+00 +4.027747029e+02 +4.027747029e+02 -1.7526e-01 -3.8013e+00
% f evaluations | g evaluations | best noise-free fitness - Fopt (7.518000000000e+01) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +1.285760885e+03 +1.360940885e+03 +1.360940885e+03 -4.3317e+00 +7.0044e+00
2 0 +6.784649511e+02 +7.536449511e+02 +7.536449511e+02 +2.6292e+00 +5.1515e+00
5 0 +5.881193249e+01 +1.339919325e+02 +1.339919325e+02 -2.3951e+00 -3.8816e+00
20 0 +5.130783259e+01 +1.264878326e+02 +1.264878326e+02 +1.3497e+00 -4.3883e+00
23 0 +4.102911048e+01 +1.162091105e+02 +1.162091105e+02 -1.0130e+00 -2.2111e+00
26 0 +4.010680501e+01 +1.152868050e+02 +1.152868050e+02 -1.7461e+00 -2.7583e+00
29 0 +2.494788540e+01 +1.001278854e+02 +1.001278854e+02 +1.8435e+00 -2.6212e+00
38 0 +2.226006884e+01 +9.744006884e+01 +9.744006884e+01 +3.0956e+00 -3.1573e+00
40 0 +1.943001382e+01 +9.461001382e+01 +9.461001382e+01 +2.7787e+00 -2.3174e+00
45 0 +1.812047573e+01 +9.330047573e+01 +9.330047573e+01 +2.3156e+00 -2.4190e+00
50 0 +1.450252573e+01 +8.968252573e+01 +8.968252573e+01 +2.0537e+00 -2.2536e+00
51 0 +1.438535820e+01 +8.956535820e+01 +8.956535820e+01 +2.1568e+00 -2.2507e+00
52 0 +8.911077773e+00 +8.409107777e+01 +8.409107777e+01 +2.2197e+00 -2.0918e+00
% f evaluations | g evaluations | best noise-free fitness - Fopt (-1.882400000000e+02) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +3.965861306e+03 +3.777621306e+03 +3.777621306e+03 +8.5892e+00 -2.4284e+00
2 0 +2.203496534e+03 +2.015256534e+03 +2.015256534e+03 +4.7792e+00 +8.6599e+00
3 0 +1.015248271e+02 -8.671517294e+01 -8.671517294e+01 -2.9278e+00 -1.8206e+00
